detector eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 0.017454178683585186 20 0.000455912 3.44171e-06 6.8605e-05 5.99661e-07 0.0392744 0.000302989 0.0392751 0.000302985
MM_6_3x2_2D 0.017454178683585186 30 0.000455666 3.40548e-06 4.70911e-05 3.91975e-07 0.0585285 0.000454178 0.0585298 0.000454147
MM_6_3x2_2D 0.017454178683585186 40 0.000448061 3.40065e-06 3.84027e-05 2.95916e-07 0.0763399 0.000632477 0.0763407 0.00063253
MM_6_3x2_2D 0.017454178683585186 50 0.000448224 3.44103e-06 3.29942e-05 2.73424e-07 0.0960421 0.000850339 0.0960434 0.000850367
MM_6_eq_1D 0.9316316147538235 1 0.00346607 3.78653e-05 0.00486863 5.3528e-05 0.0155901 0.000164452 0.0143854 0.00015552
MM_6_eq_1D 0.9316316147538235 2 0.0183871 0.00326909 0.0114778 0.00312565 0.0238093 0.00203697 0.0253192 0.00201628
MM_6_eq_1D 0.9316316147538235 3 0.0932971 0.0958836 0.0282737 0.0208986 1.60414 1.9484 1.47648 2.04819
MM_6_eq_1D 0.9316316147538235 4 0.0800099 0.0679522 0.0343721 0.055332 1.96534 1.70978 2.83534 2.04195
MM_6_eq_1D 0.9316316147538235 5 0.0928794 0.0855095 0.0252588 0.0379172 2.539 2.06043 2.46624 1.5523
MM_6_eq_1D 0.9316316147538235 6 0.100132 0.0940163 0.0591545 0.037525 3.51018 2.40719 3.49943 3.40042
MM_6_eq_1D 0.9316316147538235 7 0.100889 0.0708262 0.0446576 0.0265742 2.87391 1.86953 1.42927 1.97952
MM_6_eq_1D 0.9316316147538235 8 0.0943447 0.0769549 0.0312596 0.0249651 2.83952 2.81133 1.1887 1.78556
MM_6_eq_1D 0.9316316147538235 9 0.0601309 0.0304604 0.0492729 0.0450887 1.98652 1.98456 1.95725 1.11071
MM_6_eq_1D 0.9316316147538235 10 0.0404332 0.0202317 0.0436013 0.0252213 3.06512 2.16477 3.01579 1.50792
MM_6_eq_1D 0.9316316147538235 20 0.0281831 0.0279951 0.0310828 0.0297313 2.24042 1.43679 2.20709 1.87024
MM_6_eq_1D 0.9316316147538235 30 0 0 0.250187 2.15189 0.23843 1.34085 0.258759 1.70234
MM_6_eq_1D 0.9316316147538235 40 0.249894 2.16541 0.249894 2.16541 0.249894 2.16541 0.249899 2.16545
MM_6_eq_1D 0.9316316147538235 50 0 0 0 0 0 0 0 0
MM_6_eq_1D 0.4316947267462241 1 0.00229647 2.12701e-05 0.00358323 3.10162e-05 0.011671 0.000106045 0.0113661 0.000104992
MM_6_eq_1D 0.4316947267462241 2 0.00217767 1.94642e-05 0.000988132 1.26414e-05 0.0226976 0.000215925 0.0226289 0.000219295
MM_6_eq_1D 0.4316947267462241 3 0.00238709 1.96073e-05 0.000569204 5.17825e-06 0.037216 0.000299497 0.0371701 0.000300781
MM_6_eq_1D 0.4316947267462241 4 0.00244847 2.02628e-05 0.000430808 3.93695e-06 0.0509541 0.000429055 0.0508203 0.000425446
MM_6_eq_1D 0.4316947267462241 5 0.00239916 1.88161e-05 0.00033539 3.23794e-06 0.0621697 0.000525372 0.0617146 0.000524171
MM_6_eq_1D 0.4316947267462241 6 0.00244594 2.0248e-05 0.00028317 2.7242e-06 0.0724314 0.00063714 0.072336 0.000636312
MM_6_eq_1D 0.4316947267462241 7 0.00243007 2.08464e-05 0.000239608 2.25416e-06 0.0848317 0.000761654 0.0836505 0.000737034
MM_6_eq_1D 0.4316947267462241 8 0.00241228 2.02226e-05 0.000210064 1.98399e-06 0.0961705 0.000886644 0.0957255 0.000887782
MM_6_eq_1D 0.4316947267462241 9 0.00246477 1.99555e-05 0.000187414 1.77376e-06 0.108445 0.00105671 0.108363 0.00104125
MM_6_eq_1D 0.4316947267462241 10 0.0024142 1.97369e-05 0.000166631 1.56703e-06 0.115787 0.00124769 0.11613 0.00122837
MM_6_eq_1D 0.4316947267462241 20 0.00244516 2.05747e-05 8.5409e-05 8.17196e-07 0.208264 0.00265346 0.207212 0.00254127
MM_6_eq_1D 0.4316947267462241 30 0.00240043 1.98842e-05 5.96706e-05 5.68523e-07 0.27327 0.00450843 0.275522 0.00456492
MM_6_eq_1D 0.4316947267462241 40 0.00243328 2.03251e-05 4.87756e-05 4.30024e-07 0.316956 0.00690466 0.314517 0.00647618
MM_6_eq_1D 0.4316947267462241 50 0.0024115 1.92428e-05 0.00400718 0.00473911 0.337165 0.0080556 0.347885 0.00768977
MM_6_eq_1D 0.017454178683585186 1 0.00171547 1.30629e-05 0.00252576 2.15561e-05 0.00859818 6.99425e-05 0.00860364 6.99375e-05
MM_6_eq_1D 0.017454178683585186 2 0.000978565 7.78551e-06 0.00122459 1.0117e-05 0.00936671 7.63856e-05 0.00937031 7.62275e-05
MM_6_eq_1D 0.017454178683585186 3 0.000777962 6.10534e-06 0.000785435 6.36492e-06 0.0106546 8.64131e-05 0.0106568 8.64037e-05
MM_6_eq_1D 0.017454178683585186 4 0.000687961 5.36069e-06 0.000564228 4.69942e-06 0.0119323 9.24817e-05 0.0119342 9.25806e-05
MM_6_eq_1D 0.017454178683585186 5 0.000630362 4.73533e-06 0.00045021 3.78628e-06 0.0136322 0.000109397 0.0136302 0.000109319
MM_6_eq_1D 0.017454178683585186 6 0.000605201 4.48781e-06 0.000365687 3.00574e-06 0.0156569 0.000120632 0.0156582 0.000120626
MM_6_eq_1D 0.017454178683585186 7 0.000585414 4.47704e-06 0.000300442 2.62088e-06 0.0174285 0.000131195 0.0174265 0.000131126
MM_6_eq_1D 0.017454178683585186 8 0.000571236 4.46262e-06 0.000260382 2.25111e-06 0.0191305 0.000147547 0.0191315 0.000147504
MM_6_eq_1D 0.017454178683585186 9 0.000570325 4.42051e-06 0.000230074 1.9325e-06 0.0215178 0.000168111 0.0215186 0.000168311
MM_6_eq_1D 0.017454178683585186 10 0.000552717 4.20932e-06 0.000203798 1.75168e-06 0.0232116 0.000178363 0.0232086 0.000178408
MM_6_eq_1D 0.017454178683585186 20 0.000530559 4.00163e-06 0.000100366 8.69745e-07 0.0432515 0.00033451 0.043275 0.000334859
MM_6_eq_1D 0.017454178683585186 30 0.000510154 3.82278e-06 6.92871e-05 5.87432e-07 0.062093 0.000515154 0.0621006 0.000515439
MM_6_eq_1D 0.017454178683585186 40 0.000513208 4.00656e-06 5.32892e-05 4.35355e-07 0.0817243 0.000677259 0.0816849 0.000677218
MM_6_eq_1D 0.017454178683585186 50 0.000507342 3.94665e-06 4.54571e-05 3.75106e-07 0.0992601 0.000888216 0.0992567 0.000890667
MM_6_eq_2D 0.9316316147538235 1 0.001594 1.32113e-05 0.00166035 1.37019e-05 0.00816679 6.87039e-05 0.00796353 6.73779e-05
MM_6_eq_2D 0.9316316147538235 2 0.000968235 7.70746e-06 0.000817506 6.7249e-06 0.00934991 7.5236e-05 0.00931508 7.52901e-05
MM_6_eq_2D 0.9316316147538235 3 0.000758814 5.92842e-06 0.000526167 4.58144e-06 0.0108249 8.56718e-05 0.0107925 8.52248e-05
MM_6_eq_2D 0.9316316147538235 4 0.000681746 5.12682e-06 0.000377456 3.25767e-06 0.012414 9.51528e-05 0.01232 9.3605e-05
MM_6_eq_2D 0.9316316147538235 5 0.000615374 4.5097e-06 0.000298249 2.51932e-06 0.0137656 0.000108073 0.0137643 0.000107884
MM_6_eq_2D 0.9316316147538235 6 0.000592484 4.59481e-06 0.000237992 1.9673e-06 0.0154331 0.000122866 0.0154196 0.000122806
MM_6_eq_2D 0.9316316147538235 7 0.000569439 4.35782e-06 0.000203094 1.68837e-06 0.0170364 0.000129241 0.0170711 0.000130786
MM_6_eq_2D 0.9316316147538235 8 0.000548718 4.14091e-06 0.000169635 1.42999e-06 0.0189606 0.000149325 0.018943 0.000148594
MM_6_eq_2D 0.9316316147538235 9 0.000534279 4.18145e-06 0.000147434 1.27411e-06 0.0205527 0.00016309 0.0205331 0.000161808
MM_6_eq_2D 0.9316316147538235 10 0.000535616 4.16158e-06 0.000130484 1.16111e-06 0.0228822 0.000176376 0.022834 0.000174357
MM_6_eq_2D 0.9316316147538235 20 0.000508732 3.96665e-06 6.16165e-05 5.21315e-07 0.0424035 0.000331482 0.0424339 0.000332066
MM_6_eq_2D 0.9316316147538235 30 0.000501935 3.95017e-06 4.18303e-05 3.28874e-07 0.062146 0.000513595 0.0621096 0.000514123
MM_6_eq_2D 0.9316316147538235 40 0.000490353 3.85382e-06 3.5067e-05 2.76967e-07 0.0794694 0.00069752 0.0794577 0.000698504
MM_6_eq_2D 0.9316316147538235 50 0.000496216 3.87325e-06 3.06349e-05 2.8069e-07 0.0999717 0.000894358 0.0998899 0.000892992
MM_6_eq_2D 0.4316947267462241 1 0.00133786 1.09429e-05 0.00180887 1.50499e-05 0.00681529 5.79045e-05 0.00675191 5.87954e-05
MM_6_eq_2D 0.4316947267462241 2 0.000856307 6.5466e-06 0.000880443 7.72852e-06 0.00809976 6.70111e-05 0.00808574 6.6811e-05
MM_6_eq_2D 0.4316947267462241 3 0.000710929 5.48369e-06 0.000554548 4.38136e-06 0.00976326 8.15755e-05 0.00974471 8.14363e-05
MM_6_eq_2D 0.4316947267462241 4 0.000631594 4.75096e-06 0.000386781 3.35902e-06 0.0110355 8.66971e-05 0.0110446 8.67563e-05
MM_6_eq_2D 0.4316947267462241 5 0.00059158 4.56848e-06 0.00030281 2.4959e-06 0.0127354 0.000102034 0.0127369 0.000101884
MM_6_eq_2D 0.4316947267462241 6 0.000561096 4.31424e-06 0.000244709 2.03349e-06 0.0145397 0.000113908 0.0145297 0.000112999
MM_6_eq_2D 0.4316947267462241 7 0.000545996 4.15489e-06 0.000202331 1.74012e-06 0.0164155 0.00012629 0.0163918 0.000125072
MM_6_eq_2D 0.4316947267462241 8 0.000541003 4.07413e-06 0.000175236 1.48264e-06 0.0184654 0.000144068 0.0184359 0.000143458
MM_6_eq_2D 0.4316947267462241 9 0.000525513 4.12428e-06 0.000154112 1.3124e-06 0.0201364 0.000156945 0.0201411 0.000156749
MM_6_eq_2D 0.4316947267462241 10 0.000519615 4.02195e-06 0.000137127 1.15063e-06 0.0222049 0.000172536 0.0222109 0.000172219
MM_6_eq_2D 0.4316947267462241 20 0.000506154 3.86272e-06 6.75865e-05 5.64842e-07 0.0418776 0.000325504 0.0418392 0.000326001
MM_6_eq_2D 0.4316947267462241 30 0.000503975 3.83918e-06 4.71103e-05 3.9078e-07 0.0625804 0.000509804 0.0625511 0.000510766
MM_6_eq_2D 0.4316947267462241 40 0.000494915 3.83282e-06 3.74356e-05 2.89472e-07 0.0806401 0.000707574 0.0807583 0.000710089
MM_6_eq_2D 0.4316947267462241 50 0.00049342 3.72501e-06 3.26779e-05 2.73609e-07 0.101652 0.00087909 0.101632 0.000879198
MM_6_eq_2D 0.017454178683585186 1 0.00130144 1.08461e-05 0.00186535 1.55963e-05 0.00638596 5.27554e-05 0.00638137 5.27246e-05
MM_6_eq_2D 0.017454178683585186 2 0.000844218 6.63889e-06 0.000898839 7.73868e-06 0.00793375 6.48754e-05 0.00793422 6.48736e-05
MM_6_eq_2D 0.017454178683585186 3 0.000693936 5.39048e-06 0.000555694 4.67657e-06 0.0095521 7.50464e-05 0.00955176 7.49865e-05
MM_6_eq_2D 0.017454178683585186 4 0.000621658 4.75558e-06 0.000401228 3.40001e-06 0.0110568 8.91435e-05 0.0110542 8.91521e-05
MM_6_eq_2D 0.017454178683585186 5 0.000575075 4.3277e-06 0.000310038 2.61499e-06 0.0124346 9.40591e-05 0.0124353 9.41091e-05
MM_6_eq_2D 0.017454178683585186 6 0.000561653 4.39546e-06 0.000247525 2.16615e-06 0.0146034 0.000112741 0.0146082 0.00011276
MM_6_eq_2D 0.017454178683585186 7 0.000536626 4.1505e-06 0.000205415 1.72321e-06 0.0161924 0.000128713 0.0161924 0.000128716
MM_6_eq_2D 0.017454178683585186 8 0.000539949 4.21368e-06 0.000178431 1.57707e-06 0.0184188 0.000144269 0.0184142 0.000144207
MM_6_eq_2D 0.017454178683585186 9 0.000528204 4.12939e-06 0.000155711 1.33333e-06 0.020302 0.000158147 0.0202917 0.000157836
MM_6_eq_2D 0.017454178683585186 10 0.000520442 4.00869e-06 0.000140566 1.19543e-06 0.0223567 0.000177407 0.0223601 0.000177412
MM_6_eq_2D 0.017454178683585186 20 0.000507029 3.88254e-06 7.02258e-05 5.87443e-07 0.0426601 0.000336951 0.0426595 0.000336953
MM_6_eq_2D 0.017454178683585186 30 0.00050123 3.86089e-06 4.88269e-05 4.13208e-07 0.0624295 0.000497509 0.0624267 0.000497568
MM_6_eq_2D 0.017454178683585186 40 0.000499141 3.88024e-06 3.85027e-05 2.96445e-07 0.0819305 0.000686673 0.0819274 0.000686628
MM_6_eq_2D 0.017454178683585186 50 0.000508582 3.86802e-06 3.36895e-05 2.75898e-07 0.10199 0.000889135 0.101988 0.000889111
TPC 0.9316316147538235 1 0.00242851 1.98276e-05 0.00178311 1.511e-05 0.00524912 4.12346e-05 0.00483061 3.76781e-05
TPC 0.9316316147538235 2 0.00124315 9.76106e-06 0.000865528 7.17696e-06 0.00683618 5.60713e-05 0.0067489 5.47449e-05
TPC 0.9316316147538235 3 0.000837669 6.48094e-06 0.00056572 4.56172e-06 0.00816197 6.29225e-05 0.00814526 6.39747e-05
TPC 0.9316316147538235 4 0.000678397 5.34083e-06 0.000413029 3.42579e-06 0.00966506 7.47944e-05 0.00963555 7.44585e-05
TPC 0.9316316147538235 5 0.000567873 4.34096e-06 0.000314345 2.64692e-06 0.0108871 8.34068e-05 0.0108891 8.40589e-05
TPC 0.9316316147538235 6 0.000516186 3.92641e-06 0.000255361 2.19588e-06 0.0120597 9.67079e-05 0.0120481 9.66381e-05
TPC 0.9316316147538235 7 0.000477744 3.56967e-06 0.000214354 1.76686e-06 0.0134169 0.000103964 0.013405 0.000104177
TPC 0.9316316147538235 8 0.000441116 3.29592e-06 0.000178816 1.50608e-06 0.0144432 0.000110258 0.014454 0.000110083
TPC 0.9316316147538235 9 0.000420146 3.31068e-06 0.00016031 1.36533e-06 0.0158355 0.000124692 0.0158273 0.000124712
TPC 0.9316316147538235 10 0.000407003 3.02802e-06 0.000138936 1.15384e-06 0.0170987 0.000130606 0.0170892 0.000130818
TPC 0.9316316147538235 20 0.000357564 2.77435e-06 6.58093e-05 5.55245e-07 0.0308009 0.000238805 0.0307797 0.000238127
TPC 0.9316316147538235 30 0.000351868 2.67313e-06 4.40256e-05 3.58107e-07 0.0459921 0.000367778 0.0460093 0.000367736
TPC 0.9316316147538235 40 0.000346833 2.58496e-06 3.5747e-05 2.81478e-07 0.059292 0.000468477 0.0592855 0.000468533
TPC 0.9316316147538235 50 0.000343159 2.61579e-06 3.0903e-05 2.82333e-07 0.0732192 0.000604926 0.0732481 0.000605327
TPC 0.4316947267462241 1 0.00202512 1.65628e-05 0.0019243 1.56278e-05 0.0046092 3.6505e-05 0.004507 3.50479e-05
TPC 0.4316947267462241 2 0.00103603 8.11958e-06 0.000941878 7.75148e-06 0.00609387 4.75823e-05 0.00606562 4.64651e-05
TPC 0.4316947267462241 3 0.000726093 5.58678e-06 0.000590574 4.97293e-06 0.00752125 5.92708e-05 0.00749919 5.83787e-05
TPC 0.4316947267462241 4 0.00059196 4.55044e-06 0.000420226 3.33933e-06 0.00875204 6.52786e-05 0.00873253 6.43911e-05
TPC 0.4316947267462241 5 0.000512514 3.79171e-06 0.000319659 2.67356e-06 0.00992479 7.49259e-05 0.00989449 7.39839e-05
