detector eta pt pt_res pt_resE p_res p_resE
MM_6_eq_1D 3 30 88.2735 10.7433 89.4434 11.2003
MM_6_eq_1D 3 3 35.8258 4.77978 37.2019 4.99618
MM_6_eq_1D 3 40 112.245 19.7925 112.337 19.997
MM_6_eq_1D 3 4 36.0271 4.96328 36.8099 5.21795
MM_6_eq_1D 3 50 128.076 25.8786 129.433 25.6643
MM_6_eq_1D 3 5 26.3994 4.50865 27.4207 4.72105
MM_6_eq_1D 3 6 7.01712 0.754098 6.65102 0.660981
MM_6_eq_1D 3 7 8.14134 0.8287 8.77342 0.899168
MM_6_eq_1D 3 8 7.67186 0.643494 8.9578 0.774549
MM_6_eq_1D 3 9 27.9323 5.98134 11.7911 1.53056
MM_6_eq_2D 0 10 2.19164 0.0171047 2.19137 0.0171019
MM_6_eq_2D 0 1 0.637167 0.00531385 0.637006 0.00531794
MM_6_eq_2D 0 20 4.13331 0.0368203 4.13331 0.0368203
MM_6_eq_2D 0 2 0.750307 0.00593339 0.750346 0.00592961
MM_6_eq_2D 0 30 6.07523 0.0576433 6.07523 0.0576433
MM_6_eq_2D 0 3 0.899843 0.0072278 0.89967 0.00722264
MM_6_eq_2D 0 40 8.20011 0.0844451 8.20011 0.0844451
MM_6_eq_2D 0 4 1.05422 0.00808368 1.05416 0.00808542
MM_6_eq_2D 0 50 10.3463 0.113991 10.3463 0.113991
MM_6_eq_2D 0 5 1.23179 0.00980396 1.23216 0.00981396
MM_6_eq_2D 0 6 1.43393 0.0112605 1.43375 0.011261
MM_6_eq_2D 0 7 1.61098 0.0127799 1.61102 0.012781
MM_6_eq_2D 0 8 1.81021 0.0144092 1.81023 0.0144078
MM_6_eq_2D 0 9 1.9914 0.0155865 1.99142 0.0155875
MM_6_eq_2D 1 10 2.25177 0.0178284 2.25182 0.0179369
MM_6_eq_2D 1 1 0.692018 0.00586565 0.693464 0.00596883
MM_6_eq_2D 1 20 4.10866 0.0359104 4.13687 0.0362999
MM_6_eq_2D 1 2 0.809209 0.00624763 0.810167 0.00632987
MM_6_eq_2D 1 30 6.1613 0.0602751 6.31713 0.0632209
MM_6_eq_2D 1 3 0.956341 0.00796533 0.9571 0.00797919
MM_6_eq_2D 1 40 8.24907 0.0826514 8.16682 0.0820081
MM_6_eq_2D 1 4 1.11968 0.00890545 1.11406 0.00876789
MM_6_eq_2D 1 50 10.2312 0.119354 10.2696 0.1192
MM_6_eq_2D 1 5 1.2989 0.0100476 1.31444 0.0104792
MM_6_eq_2D 1 6 1.46003 0.0114187 1.45755 0.0114282
