detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 3 0.000694353 5.42302e-06 0.000608759 5.2787e-06 0.00989047 7.93832e-05 0.00984947 8.11434e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 4 0.00056646 4.5455e-06 0.000448777 3.77906e-06 0.0105434 8.47648e-05 0.010523 8.50967e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 5 0.000495201 3.88618e-06 0.000350683 3.06731e-06 0.0113171 9.19661e-05 0.0113086 9.23761e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 6 0.00044414 3.52537e-06 0.000290788 2.48875e-06 0.0121527 9.5328e-05 0.0121423 9.51036e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 7 0.000410928 3.2002e-06 0.000245629 2.09363e-06 0.012973 0.000102251 0.012944 0.000103726
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 8 0.000389361 2.97113e-06 0.000208325 1.70813e-06 0.0138949 0.000108853 0.0139239 0.000110128
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 9 0.000371958 2.8909e-06 0.000184122 1.54635e-06 0.0147272 0.000104022 0.0147414 0.000112463
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.9316316147538235 10 0.000366949 2.90712e-06 0.000164669 1.38973e-06 0.0162342 0.000127053 0.0162403 0.000126862
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 1 0.00146485 1.28338e-05 0.00204086 1.78697e-05 0.00705561 6.07697e-05 0.00699046 6.05754e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 2 0.000814476 6.81499e-06 0.000995617 8.14417e-06 0.00763731 6.50619e-05 0.00760851 6.48852e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 3 0.000606751 5.00577e-06 0.000646723 5.50975e-06 0.00842422 7.02234e-05 0.00839408 6.9827e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 4 0.00050349 3.84308e-06 0.000484304 4.09849e-06 0.00904385 7.38989e-05 0.00903531 7.32823e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 5 0.000446852 3.59504e-06 0.000376057 3.24179e-06 0.010002 7.9727e-05 0.00998357 7.98118e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 6 0.000407193 3.20464e-06 0.000306068 2.61955e-06 0.0108366 8.46893e-05 0.0108312 8.43633e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 7 0.000382102 3.03555e-06 0.00025167 2.18475e-06 0.0118786 9.15572e-05 0.0119302 9.57325e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 8 0.000367798 2.85999e-06 0.000217932 1.90634e-06 0.0129015 9.92394e-05 0.0128971 9.92392e-05
MM_6_3x2_2D_mpgd100um_svtx10um 1 0.4316947267462241 9 0.000355256 2.79938e-06 0.000189116 1.63598e-06 0.0140466 0.000110307 0.0140507 0.000110522
