detector eta pt phi_res phi_resE theta_res theta_resE
MM_6_eq_1D 1 20 0.00149339 1.52561e-05 0.00353985 3.61624e-05
MM_6_eq_1D 1 30 0.00147547 1.50479e-05 0.00348433 3.55359e-05
MM_6_eq_1D 1 40 0.0014522 1.48618e-05 0.00349085 3.57253e-05
MM_6_eq_1D 1 50 0.00151252 1.54953e-05 0.00355666 3.64369e-05
MM_6_eq_1D 3 1 0.00197435 2.00424e-05 0.00254857 2.58768e-05
MM_6_eq_1D 3 2 0.00201884 2.60936e-05 0.00251954 3.25597e-05
MM_6_eq_1D 3 3 0.00193646 2.85453e-05 0.00333384 4.91441e-05
MM_6_eq_1D 3 4 0.00174127 2.6511e-05 0.00353308 5.37665e-05
MM_6_eq_1D 3 5 0.00169688 2.59619e-05 0.00347418 5.31542e-05
MM_6_eq_1D 3 6 0.00169554 2.63644e-05 0.0036211 5.62918e-05
MM_6_eq_1D 3 7 0.00167208 2.70891e-05 0.00362865 5.87871e-05
MM_6_eq_1D 3 8 0.00168971 2.7615e-05 0.00363744 5.94468e-05
MM_6_eq_1D 3 9 0.0016119 2.68724e-05 0.00358267 5.97277e-05
MM_6_eq_1D 3 10 0.00165879 2.72998e-05 0.0035837 5.89795e-05
MM_6_eq_1D 3 20 0.00158437 2.49762e-05 0.00322271 5.08034e-05
MM_6_eq_1D 3 30 0.00159112 2.50268e-05 0.00319944 5.03241e-05
MM_6_eq_1D 3 40 0.00155554 2.43054e-05 0.00308346 4.81791e-05
MM_6_eq_1D 3 50 0.00164033 2.53713e-05 0.00300789 4.65237e-05
MM_6_eq_2D 0 1 0.00101706 7.24109e-06 0.00103826 7.39204e-06
MM_6_eq_2D 0 2 0.000841377 5.96706e-06 0.000739101 5.24251e-06
MM_6_eq_2D 0 3 0.000726874 5.15552e-06 0.000781284 5.5406e-06
MM_6_eq_2D 0 4 0.000780494 5.53194e-06 0.000715678 5.07203e-06
MM_6_eq_2D 0 5 0.000554319 3.92729e-06 0.000558556 3.95712e-06
MM_6_eq_2D 0 6 0.000613369 4.34435e-06 0.000606192 4.2933e-06
MM_6_eq_2D 0 7 0.000446508 3.16267e-06 0.0004569 3.23627e-06
MM_6_eq_2D 0 8 0.000552857 3.91438e-06 0.000477404 3.38032e-06
MM_6_eq_2D 0 9 0.000529484 3.74984e-06 0.000453428 3.2112e-06
MM_6_eq_2D 0 10 0.000428793 3.03765e-06 0.000412692 2.92358e-06
MM_6_eq_2D 0 20 0.000364559 2.58247e-06 0.000175711 1.2447e-06
MM_6_eq_2D 0 30 0.000347253 2.45877e-06 0.000114042 8.07488e-07
MM_6_eq_2D 0 40 0.000324941 2.30159e-06 7.64511e-05 5.41512e-07
MM_6_eq_2D 0 50 0.000330172 2.33818e-06 7.22686e-05 5.11759e-07
MM_6_eq_2D 1 1 0.00110219 7.83453e-06 0.00105567 7.50349e-06
MM_6_eq_2D 1 2 0.000988531 7.01315e-06 0.000990715 7.02758e-06
MM_6_eq_2D 1 3 0.000700391 4.96769e-06 0.0007925 5.62014e-06
MM_6_eq_2D 1 4 0.000911869 6.46634e-06 0.000708378 5.02307e-06
