detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_3x2_2D 5 0.4316947267462241 7 0.000524486 4.07829e-06 0.000231195 1.92135e-06 0.0162861 0.000125577 0.0162953 0.000125306
MM_6_3x2_2D 1 0.4316947267462241 8 0.00050836 3.86674e-06 0.000196179 1.75641e-06 0.0179247 0.000139289 0.0179269 0.000139758
MM_6_3x2_2D 2 0.4316947267462241 8 0.000509326 3.8283e-06 0.000194914 1.70572e-06 0.017994 0.000140062 0.0179721 0.000138598
MM_6_3x2_2D 3 0.4316947267462241 8 0.000508747 3.85652e-06 0.00019146 1.66844e-06 0.0179009 0.000135858 0.0178538 0.00013506
MM_6_3x2_2D 5 0.4316947267462241 8 0.000507658 3.97882e-06 0.000193385 1.65287e-06 0.0179372 0.000142177 0.0179253 0.000141491
MM_6_3x2_2D 1 0.4316947267462241 9 0.000497033 3.74353e-06 0.00017011 1.45179e-06 0.0196417 0.000149299 0.0196594 0.000150234
MM_6_3x2_2D 2 0.4316947267462241 9 0.0004999 3.78325e-06 0.000173183 1.49759e-06 0.0198439 0.000146094 0.0198245 0.000146298
MM_6_3x2_2D 3 0.4316947267462241 9 0.000499023 3.99954e-06 0.000172177 1.50368e-06 0.0195355 0.000150638 0.0195871 0.000152784
MM_6_3x2_2D 5 0.4316947267462241 9 0.000498266 3.86141e-06 0.000172721 1.48817e-06 0.0196603 0.000155837 0.0196488 0.000155719
MM_6_3x2_2D 1 0.4316947267462241 10 0.000499166 3.8327e-06 0.000149232 1.29039e-06 0.0218345 0.000166801 0.0219089 0.000171334
MM_6_3x2_2D 2 0.4316947267462241 10 0.000495823 3.6603e-06 0.000153564 1.29768e-06 0.0216913 0.000167478 0.0216949 0.000167847
MM_6_3x2_2D 3 0.4316947267462241 10 0.000489451 3.58759e-06 0.000152484 1.32886e-06 0.0213982 0.000161219 0.0213815 0.000161707
MM_6_3x2_2D 5 0.4316947267462241 10 0.000495357 3.86647e-06 0.000150846 1.32765e-06 0.0218475 0.000168455 0.0218847 0.00017028
MM_6_3x2_2D 1 0.017454178683585186 1 0.0014676 1.21077e-05 0.0020758 1.71541e-05 0.00697128 5.99487e-05 0.00695765 5.93085e-05
MM_6_3x2_2D 2 0.017454178683585186 1 0.00147697 1.24644e-05 0.00209541 1.78188e-05 0.00702479 5.97013e-05 0.00702297 5.98404e-05
MM_6_3x2_2D 3 0.017454178683585186 1 0.00148629 1.19141e-05 0.00210863 1.78987e-05 0.00707285 5.99097e-05 0.00707179 5.9945e-05
